,stat,value
0,seedsSown,8219
1,itemsShipped,24553
2,itemsCooked,809
3,itemsCrafted,1896
4,chickenEggsLayed,1616
5,duckEggsLayed,137
6,cowMilkProduced,1977
7,goatMilkProduced,501
8,rabbitWoolProduced,309
9,sheepWoolProduced,242
10,cheeseMade,1282
11,goatCheeseMade,385
12,trufflesFound,463
13,stoneGathered,10188
14,rocksCrushed,16516
15,dirtHoed,6788
16,giftsGiven,1037
17,timesUnconscious,4
18,averageBedtime,1814
19,timesFished,1127
20,fishCaught,963
21,bouldersCracked,0
22,stumpsChopped,245
23,stepsTaken,717776
24,monstersKilled,2511
25,diamondsFound,32
26,prismaticShardsFound,5
27,otherPreciousGemsFound,16
28,caveCarrotsFound,0
29,copperFound,1144
30,ironFound,996
31,coalFound,0
32,coinsFound,0
33,goldFound,882
34,iridiumFound,531
35,barsSmelted,0
36,beveragesMade,713
37,preservesMade,551
38,piecesOfTrashRecycled,136
39,mysticStonesCrushed,5
40,daysPlayed,640
41,weedsEliminated,5
42,sticksChopped,0
43,notesFound,21
44,questsCompleted,16
45,starLevelCropsShipped,0
46,cropsShipped,10174
47,itemsForaged,2565
48,slimesKilled,737
49,geodesCracked,424
50,goodFriends,29
51,totalMoneyGifted,0
52,individualMoneyEarned,0
53,specificMonstersKilled,None
54,stat_dictionary,None
55,GoodFriends,29
56,CropsShipped,10174
57,ItemsForaged,2565
58,GeodesCracked,424
59,SlimesKilled,737
60,StarLevelCropsShipped,0
61,StoneGathered,10188
62,QuestsCompleted,16
63,FishCaught,963
64,NotesFound,21
65,SticksChopped,0
66,WeedsEliminated,5
67,DaysPlayed,640
68,BouldersCracked,0
69,MysticStonesCrushed,5
70,GoatCheeseMade,385
71,CheeseMade,1282
72,PiecesOfTrashRecycled,136
73,PreservesMade,551
74,BeveragesMade,713
75,BarsSmelted,0
76,IridiumFound,531
77,GoldFound,882
78,CoinsFound,0
79,CoalFound,0
80,IronFound,996
81,CopperFound,1144
82,CaveCarrotsFound,0
83,OtherPreciousGemsFound,16
84,PrismaticShardsFound,5
85,DiamondsFound,32
86,MonstersKilled,2511
87,StepsTaken,717776
88,StumpsChopped,245
89,TimesFished,1127
90,AverageBedtime,1814
91,TimesUnconscious,4
92,GiftsGiven,1037
93,DirtHoed,6788
94,RocksCrushed,16516
95,TrufflesFound,463
96,SheepWoolProduced,242
97,RabbitWoolProduced,309
98,GoatMilkProduced,501
99,CowMilkProduced,1977
100,DuckEggsLayed,137
101,ItemsCrafted,1896
102,ChickenEggsLayed,1616
103,ItemsCooked,809
104,ItemsShipped,24553
105,SeedsSown,8219
106,IndividualMoneyEarned,0
